ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,rate_landuse
220,Seychelles,61168,Glacis,0.4752604166666667
40765,Egypt,61527,Menoufia,0.4704132807181756
253,Uganda,758,Iganga,0.46932761591478694
220,Seychelles,61147,Bel Air,0.46875
40765,Egypt,61519,Gharbia,0.46262762141280356
253,Uganda,3114,Jinja,0.45936113165680476
253,Uganda,1261,Kumi,0.45935831190664556
253,Uganda,42197,Rukungiri,0.44894353693181815
253,Uganda,1369,Pallisa,0.44492583300857363
182,Nigeria,2222,Imo,0.4440318114634521
8,Angola,408,Luanda,0.4351410228701666
253,Uganda,789,Dokolo,0.43382444632881084
253,Uganda,768,Luuka,0.432327692687747
182,Nigeria,65701,Ebonyi,0.4289943594068228
205,Rwanda,21973,West/Iburengerazuba,0.4272829227493917
160,Mauritius,2022,Pamplemousses,0.4270773329493088
253,Uganda,47071,Butaleja,0.424530029296875
253,Uganda,782,Oyam,0.42399792884990256
253,Uganda,777,Ngora,0.4200416420990566
253,Uganda,748,Bugiri,0.4187302457177814
160,Mauritius,2017,Administrative unit not available,0.41645220588235293
253,Uganda,1080,Bududa,0.41401006711409394
253,Uganda,42200,Wakiso,0.41355252396530734
43,Burundi,40556,Ngozi,0.4132935160024155
253,Uganda,759,Kalungu,0.41263367699795084
160,Mauritius,2023,Plaines Wilhems,0.4096765350877193
29,Benin,618,Oueme,0.40930864299933645
42,Burkina Faso,40278,Centre,0.40785585233875654
40765,Egypt,61533,Shrkia,0.40643701570499513
253,Uganda,757,Butambala,0.40494518119747897
182,Nigeria,2230,Lagos,0.40360240374716905
253,Uganda,774,Namutumba,0.40332339963119074
248,Tunisia,3006,Monastir,0.4025917235494881
94,Ghana,1328,Greater Accra,0.4023226301716032
253,Uganda,42181,Kaberamaido,0.397711088920901
145,Libya,1830,Al Aziziyah,0.39433223238482384
253,Uganda,778,Buhweju,0.39329897911471323
145,Libya,1838,Az Zawia (azzawiya),0.39270566907923377
253,Uganda,42184,Kanungu,0.3912777549342105
220,Seychelles,61178,La Digue,0.3899147727272727
43,Burundi,40552,Makamba,0.3877756711994421
253,Uganda,787,Zombo,0.3875648556774809
253,Uganda,760,Kamuli,0.3868184655937847
220,Seychelles,61153,Cascade,0.3828125
160,Mauritius,2025,Riviere Du Rempart,0.3823709239130435
29,Benin,611,Atlantique,0.38155156602708806
253,Uganda,42183,Kamwenge,0.3812209623893805
43,Burundi,40545,Bururi,0.3811484733081693
43,Burundi,40557,Rutana,0.38108522201665124
220,Seychelles,61154,Cerf Island,0.380859375
253,Uganda,1361,Kyegegwa,0.3794241530088063
90,Gambia,112869,Kanifing Municipal Council,0.3778483072916667
253,Uganda,42180,Kabarole,0.3772431930693069
145,Libya,1834,Al Khoms,0.37706969580284944
40765,Egypt,61517,Damietta,0.3700680522798742
253,Uganda,47073,Isingiro,0.36919524469623916
253,Uganda,788,Bukedea,0.36893989600326266
43,Burundi,40543,Bujumbura Mairie,0.3680555555555556
248,Tunisia,3004,Mahdia,0.3678817785475394
253,Uganda,1365,Serere,0.3618219403879686
205,Rwanda,21969,East/Iburasirazuba,0.35632406884875845
220,Seychelles,61158,Cousine,0.35546875
182,Nigeria,2212,Akwa Ibom,0.35098423487432107
253,Uganda,1362,Kyenjojo,0.3485097642024763
40765,Egypt,61516,Dakahlia,0.3478260195475293
182,Nigeria,65698,Abia,0.34758992608313816
182,Nigeria,2213,Anambra,0.3465062365035091
221,Sierra Leone,2657,Western Area,0.3435759591584158
253,Uganda,47068,Amuria,0.34256714876033056
43,Burundi,40551,Kirundo,0.34235060571359693
227,South Africa,2708,Gauteng,0.33975456923207253
220,Seychelles,61205,Takamaka,0.3338541666666667
253,Uganda,47087,Mityana,0.3301593733117234
43,Burundi,40558,Ruyigi,0.3297246316539924
253,Uganda,47075,Kaliro,0.3269081115722656
40765,Egypt,61510,Alexandria,0.3239166215728716
220,Seychelles,61169,Grand Anse Mahe,0.3228515625
43,Burundi,40549,Karuzi,0.3191496430741191
220,Seychelles,61193,Praslin,0.31710069444444444
253,Uganda,761,Kapchorwa,0.31454211630695444
253,Uganda,1057,Arua,0.31415586927093403
43,Burundi,40542,Bubanza,0.31192750506072875
226,Somalia,2692,Banadir,0.30992720883534136
40765,Egypt,61522,Kafr El-Shikh,0.30617184441072826
182,Nigeria,65703,Enugu,0.30470131875499257
253,Uganda,746,Apac,0.30415599553454165
253,Uganda,3123,Kibaale,0.2999676063363831
253,Uganda,47083,Luwero,0.29881082739699655
220,Seychelles,61148,Belombre,0.2975852272727273
